rank,image_a,image_b,phash_hamming_distance,ssim_256_gray,same_sha256
114,1-coins/10_1477186452.jpg,1-coins/10_1477186458.jpg,2,0.9919945286794246,False
115,1-coins/10_1477187382.jpg,1-coins/10_1477187394.jpg,2,0.991952892238121,False
116,1-coins/50_1477193604.jpg,1-coins/50_1477193610.jpg,2,0.9919435856197467,False
117,1-coins/105_1479345072.jpg,1-coins/105_1479345078.jpg,2,0.9919108334148529,False
118,1-coins/115_1479347982.jpg,1-coins/115_1479347988.jpg,2,0.9918598289861404,False
119,1-coins/5_1477189266.jpg,1-coins/5_1477189272.jpg,2,0.9918388066358094,False
120,1-coins/115_1479349632.jpg,1-coins/115_1479349638.jpg,2,0.9918350602804021,False
121,1-coins/10_1477187382.jpg,1-coins/10_1477187388.jpg,2,0.9917756623692191,False
122,1-coins/10_1477187394.jpg,1-coins/10_1477187400.jpg,2,0.9917705821733821,False
123,1-coins/105_1479345060.jpg,1-coins/105_1479345066.jpg,2,0.9917212606642906,False
124,1-coins/10_1477186650.jpg,1-coins/10_1477186656.jpg,2,0.9917196251277592,False
125,1-coins/115_1479347958.jpg,1-coins/115_1479347970.jpg,2,0.9917126952307729,False
126,1-coins/5_1477189278.jpg,1-coins/5_1477189284.jpg,2,0.9916976531777576,False
127,1-coins/5_1477156782.jpg,1-coins/5_1477156788.jpg,2,0.9916867603926836,False
128,1-coins/10_1477187382.jpg,1-coins/10_1477187400.jpg,2,0.9916758908206089,False
129,1-coins/10_1477187388.jpg,1-coins/10_1477187400.jpg,2,0.9916274314621357,False
130,1-coins/60_1477844946.jpg,1-coins/60_1477844952.jpg,2,0.9916223754619381,False
131,1-coins/35_1477789638.jpg,1-coins/35_1477789644.jpg,2,0.9915421180037639,False
132,1-coins/100_1477154628.jpg,1-coins/100_1477154634.jpg,2,0.9914516639868711,False
133,1-coins/85_1477852152.jpg,1-coins/85_1477852158.jpg,2,0.9914059208496169,False
134,1-coins/10_1477185414.jpg,1-coins/10_1477185420.jpg,2,0.9913569988947183,False
135,1-coins/120_1479351522.jpg,1-coins/120_1479351528.jpg,2,0.9913182037307332,False
136,1-coins/115_1479349626.jpg,1-coins/115_1479349638.jpg,2,0.9912145056873812,False
137,1-coins/10_1477149144.jpg,1-coins/10_1477149150.jpg,2,0.9911933734637016,False
138,1-coins/110_1479347424.jpg,1-coins/110_1479347436.jpg,2,0.9911420585533122,False
139,1-coins/50_1477282422.jpg,1-coins/50_1477282434.jpg,2,0.9911182159505867,False
140,1-coins/55_1477839288.jpg,1-coins/55_1477839294.jpg,2,0.9910654774275358,False
141,1-coins/115_1479350568.jpg,1-coins/115_1479350574.jpg,2,0.9910341574851046,False
142,1-coins/10_1477149096.jpg,1-coins/10_1477149102.jpg,2,0.9910224532944136,False
143,1-coins/105_1479345264.jpg,1-coins/105_1479345270.jpg,2,0.990861066975916,False
